,model_name,frame_number,people,error,perc_error,time,filter,model_name_true,people_true
160,ssd_mobilenet_v1_ppn_coco,161.0,3,0.0,0.5714285714285714,12.141779788838612,7.0,Ground Truth,7
161,ssd_mobilenet_v1_ppn_coco,162.0,4,0.0,0.42857142857142855,12.217194570135748,7.0,Ground Truth,7
162,ssd_mobilenet_v1_ppn_coco,163.0,4,0.0,0.42857142857142855,12.292609351432882,7.0,Ground Truth,7
163,ssd_mobilenet_v1_ppn_coco,164.0,7,0.0,0.0,12.368024132730016,7.0,Ground Truth,7
164,ssd_mobilenet_v1_ppn_coco,165.0,7,0.0,0.0,12.44343891402715,7.0,Ground Truth,7
165,ssd_mobilenet_v1_ppn_coco,166.0,8,0.0,0.14285714285714285,12.518853695324283,7.0,Ground Truth,7
166,ssd_mobilenet_v1_ppn_coco,167.0,8,0.0,0.14285714285714285,12.594268476621417,7.0,Ground Truth,7
167,ssd_mobilenet_v1_ppn_coco,168.0,7,0.0,0.0,12.669683257918551,7.0,Ground Truth,7
168,ssd_mobilenet_v1_ppn_coco,169.0,7,0.0,0.0,12.745098039215687,7.0,Ground Truth,7
169,ssd_mobilenet_v1_ppn_coco,170.0,6,0.0,0.14285714285714285,12.820512820512821,7.0,Ground Truth,7
170,ssd_mobilenet_v1_ppn_coco,171.0,7,0.0,0.0,12.895927601809955,7.0,Ground Truth,7
171,ssd_mobilenet_v1_ppn_coco,172.0,7,0.0,0.0,12.971342383107089,7.0,Ground Truth,7
172,ssd_mobilenet_v1_ppn_coco,173.0,7,0.0,0.0,13.046757164404223,7.0,Ground Truth,7
173,ssd_mobilenet_v1_ppn_coco,174.0,7,0.0,0.0,13.122171945701357,7.0,Ground Truth,7
174,ssd_mobilenet_v1_ppn_coco,175.0,9,0.0,0.2857142857142857,13.197586726998493,7.0,Ground Truth,7
175,ssd_mobilenet_v1_ppn_coco,176.0,9,0.0,0.2857142857142857,13.273001508295627,7.0,Ground Truth,7
176,ssd_mobilenet_v1_ppn_coco,177.0,10,0.0,0.42857142857142855,13.34841628959276,7.0,Ground Truth,7
177,ssd_mobilenet_v1_ppn_coco,178.0,8,0.0,0.14285714285714285,13.423831070889895,7.0,Ground Truth,7
178,ssd_mobilenet_v1_ppn_coco,179.0,7,0.0,0.0,13.499245852187029,7.0,Ground Truth,7
179,ssd_mobilenet_v1_ppn_coco,180.0,7,0.0,0.0,13.574660633484163,7.0,Ground Truth,7
180,ssd_mobilenet_v1_ppn_coco,181.0,6,0.0,0.14285714285714285,13.650075414781297,7.0,Ground Truth,7
181,ssd_mobilenet_v1_ppn_coco,182.0,7,0.0,0.0,13.725490196078432,7.0,Ground Truth,7
182,ssd_mobilenet_v1_ppn_coco,183.0,8,0.0,0.14285714285714285,13.800904977375566,7.0,Ground Truth,7
183,ssd_mobilenet_v1_ppn_coco,184.0,8,0.0,0.14285714285714285,13.8763197586727,7.0,Ground Truth,7
184,ssd_mobilenet_v1_ppn_coco,185.0,7,0.0,0.0,13.951734539969834,7.0,Ground Truth,7
185,ssd_mobilenet_v1_ppn_coco,186.0,6,0.0,0.14285714285714285,14.027149321266968,7.0,Ground Truth,7
186,ssd_mobilenet_v1_ppn_coco,187.0,7,0.0,0.0,14.102564102564102,7.0,Ground Truth,7
187,ssd_mobilenet_v1_ppn_coco,188.0,6,0.0,0.14285714285714285,14.177978883861236,7.0,Ground Truth,7
188,ssd_mobilenet_v1_ppn_coco,189.0,7,0.0,0.0,14.253393665158372,7.0,Ground Truth,7
189,ssd_mobilenet_v1_ppn_coco,190.0,6,0.0,0.14285714285714285,14.328808446455506,7.0,Ground Truth,7
190,ssd_mobilenet_v1_ppn_coco,191.0,5,0.0,0.2857142857142857,14.40422322775264,7.0,Ground Truth,7
191,ssd_mobilenet_v1_ppn_coco,192.0,7,0.0,0.0,14.479638009049774,7.0,Ground Truth,7
192,ssd_mobilenet_v1_ppn_coco,193.0,6,0.0,0.14285714285714285,14.555052790346908,7.0,Ground Truth,7
193,ssd_mobilenet_v1_ppn_coco,194.0,7,0.0,0.0,14.630467571644042,7.0,Ground Truth,7
194,ssd_mobilenet_v1_ppn_coco,195.0,6,0.0,0.14285714285714285,14.705882352941178,7.0,Ground Truth,7
195,ssd_mobilenet_v1_ppn_coco,196.0,5,0.0,0.2857142857142857,14.781297134238311,7.0,Ground Truth,7
196,ssd_mobilenet_v1_ppn_coco,197.0,6,0.0,0.14285714285714285,14.856711915535445,7.0,Ground Truth,7
197,ssd_mobilenet_v1_ppn_coco,198.0,5,0.0,0.2857142857142857,14.93212669683258,7.0,Ground Truth,7
198,ssd_mobilenet_v1_ppn_coco,199.0,6,0.0,0.14285714285714285,15.007541478129713,7.0,Ground Truth,7
199,ssd_mobilenet_v1_ppn_coco,200.0,7,0.0,0.0,15.082956259426847,7.0,Ground Truth,7
200,ssd_mobilenet_v1_ppn_coco,201.0,7,0.0,0.0,15.158371040723981,7.0,Ground Truth,7
201,ssd_mobilenet_v1_ppn_coco,202.0,7,0.0,0.0,15.233785822021117,7.0,Ground Truth,7
202,ssd_mobilenet_v1_ppn_coco,203.0,9,0.0,0.2857142857142857,15.309200603318251,7.0,Ground Truth,7
203,ssd_mobilenet_v1_ppn_coco,204.0,8,0.0,0.14285714285714285,15.384615384615385,7.0,Ground Truth,7
204,ssd_mobilenet_v1_ppn_coco,205.0,8,0.0,0.14285714285714285,15.460030165912519,7.0,Ground Truth,7
205,ssd_mobilenet_v1_ppn_coco,206.0,9,0.0,0.2857142857142857,15.535444947209653,7.0,Ground Truth,7
206,ssd_mobilenet_v1_ppn_coco,207.0,7,0.0,0.16666666666666666,15.610859728506787,6.0,Ground Truth,6
207,ssd_mobilenet_v1_ppn_coco,208.0,7,0.0,0.16666666666666666,15.686274509803923,6.0,Ground Truth,6
208,ssd_mobilenet_v1_ppn_coco,209.0,6,0.0,0.0,15.761689291101057,6.0,Ground Truth,6
209,ssd_mobilenet_v1_ppn_coco,210.0,5,0.0,0.16666666666666666,15.83710407239819,6.0,Ground Truth,6
210,ssd_mobilenet_v1_ppn_coco,211.0,4,0.0,0.3333333333333333,15.912518853695325,6.0,Ground Truth,6
211,ssd_mobilenet_v1_ppn_coco,212.0,5,0.0,0.16666666666666666,15.987933634992459,6.0,Ground Truth,6
212,ssd_mobilenet_v1_ppn_coco,213.0,5,0.0,0.16666666666666666,16.063348416289593,6.0,Ground Truth,6
213,ssd_mobilenet_v1_ppn_coco,214.0,7,0.0,0.16666666666666666,16.138763197586727,6.0,Ground Truth,6
214,ssd_mobilenet_v1_ppn_coco,215.0,8,0.0,0.3333333333333333,16.21417797888386,6.0,Ground Truth,6
215,ssd_mobilenet_v1_ppn_coco,216.0,6,0.0,0.0,16.289592760180994,6.0,Ground Truth,6
216,ssd_mobilenet_v1_ppn_coco,217.0,6,0.0,0.0,16.36500754147813,6.0,Ground Truth,6
217,ssd_mobilenet_v1_ppn_coco,218.0,6,0.0,0.0,16.440422322775266,6.0,Ground Truth,6
218,ssd_mobilenet_v1_ppn_coco,219.0,5,1.0,0.0,16.5158371040724,6.0,Ground Truth,5
219,ssd_mobilenet_v1_ppn_coco,220.0,5,1.0,0.0,16.591251885369534,6.0,Ground Truth,5
220,ssd_mobilenet_v1_ppn_coco,221.0,5,1.0,0.0,16.666666666666668,6.0,Ground Truth,5
221,ssd_mobilenet_v1_ppn_coco,222.0,8,1.0,0.6,16.742081447963802,6.0,Ground Truth,5
222,ssd_mobilenet_v1_ppn_coco,223.0,7,1.0,0.4,16.817496229260936,6.0,Ground Truth,5
223,ssd_mobilenet_v1_ppn_coco,224.0,8,0.0,0.3333333333333333,16.89291101055807,6.0,Ground Truth,6
224,ssd_mobilenet_v1_ppn_coco,225.0,6,0.0,0.0,16.968325791855204,6.0,Ground Truth,6
225,ssd_mobilenet_v1_ppn_coco,226.0,7,0.0,0.16666666666666666,17.043740573152338,6.0,Ground Truth,6
226,ssd_mobilenet_v1_ppn_coco,227.0,7,0.0,0.16666666666666666,17.11915535444947,6.0,Ground Truth,6
227,ssd_mobilenet_v1_ppn_coco,228.0,6,0.0,0.0,17.194570135746606,6.0,Ground Truth,6
228,ssd_mobilenet_v1_ppn_coco,229.0,7,0.0,0.16666666666666666,17.26998491704374,6.0,Ground Truth,6
229,ssd_mobilenet_v1_ppn_coco,230.0,6,0.0,0.0,17.345399698340874,6.0,Ground Truth,6
230,ssd_mobilenet_v1_ppn_coco,231.0,7,1.0,0.0,17.420814479638008,6.0,Ground Truth,7
